Organization,aamc,aamc,aamc,aamc,aamc,aamc,aamc,aamc,aamc,ama,ama,ama,ama,ama,ama,ama,ama,nbme,nbme,nbme,nbme,nbme,nbme,nbme,nbme,nbme,nbome,nbome,nbome,nbome,nbome,nbome,nbome,nbome,nbome,nrmp,nrmp,nrmp,nrmp,nrmp,nrmp,nrmp,nrmp,nrmp
filing_year,2011,2012,2013,2014,2015,2016,2017,2018,2019,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2019,2011,2012,2013,2014,2015,2016,2017,2018,2019,2011,2012,2013,2014,2015,2016,2017,2018,2019
ReturnHeader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReturnData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,2011-02-03T08:44:44-06:00,2012-03-01T14:58:14-06:00,2013-02-04T13:27:46-06:00,2014-02-04T07:33:36-06:00,,,,,,2011-11-14T13:02:28-06:00,2012-11-12T13:17:29-06:00,2013-11-11T08:45:18-06:00,,,,,,2011-05-18T07:49:23-07:00,2012-05-11T10:47:29-07:00,2013-05-09T05:23:29-07:00,,,,,,,2011-08-10T15:18:52-05:00,2012-10-09T12:26:38-05:00,2013-09-25T13:59:27-05:00,,,,,,,2011-07-20T07:08:30-05:00,2012-07-03T11:12:23-05:00,2013-05-14T15:26:08-05:00,,,,,,
TaxPeriodEndDate,2010-06-30,2011-06-30,2012-06-30,2013-06-30,,,,,,2010-12-31,2011-12-31,2012-12-31,,,,,,2010-12-31,2011-12-31,2012-12-31,,,,,,,2010-12-31,2011-12-31,2012-12-31,,,,,,,2010-12-31,2011-12-31,2012-12-31,,,,,,
PreparerFirm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReturnType,990.0,990.0,990.0,990.0,,,,,,990.0,990.0,990.0,,,,,,990.0,990.0,990.0,,,,,,,990.0,990.0,990.0,,,,,,,990.0,990.0,990.0,,,,,,
TaxPeriodBeginDate,2009-07-01,2010-07-01,2011-07-01,2012-07-01,,,,,,2010-01-01,2011-01-01,2012-01-01,,,,,,2010-01-01,2011-01-01,2012-01-01,,,,,,,2010-01-01,2011-01-01,2012-01-01,,,,,,,2010-01-01,2011-01-01,2012-01-01,,,,,,
Filer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Officer,X,X,X,X,,,,,,X,X,X,,,,,,X,X,X,,,,,,,X,X,X,,,,,,,X,X,X,,,,,,
Preparer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaxYear,2009.0,2010.0,2011.0,2012.0,,,,,,2010.0,2011.0,2012.0,,,,,,2010.0,2011.0,2012.0,,,,,,,2010.0,2011.0,2012.0,,,,,,,2010.0,2011.0,2012.0,,,,,,
